Topic,Studies
Retinal Vein Occlusion,Protective effects of hydrogen gas in a rat model of branch retinal vein occlusion via decreasing ...2019 - Eye - Retinal InjuryBackground: Oxidative stress (OS) is an essential factor in the pathogenesis of branch retinal vein occlusion (BRVO). Studies have demonstrated the role of hydrogen gas in the regulation of OS. This study was designed to evaluate the efficacy of ...
Retinitis Pigmentosa,"The clinical research on the effect of hydrogen-rich water on primary retinitis pigmentosa2023 - Eye - Retinal InjuryObjective: To investigate the feasibility and effectiveness of hydrogen in the treatment of retinitis pigmentosa (RP) patients through the drinking of hydrogen-rich water (HRW). Methods: RP patients clinically diagnosed in our hospital were selected ...

Drinking hydrogen water improves photoreceptor structure and function in retinal degeneration 6 mice2022 - Eye - Retinal InjuryRetinitis pigmentosa (RP) is a genetically heterogeneous group of inherited retinal disorders involving the progressive dysfunction of photoreceptors and the retinal pigment epithelium, for which there is currently no treatment. The rd6 mouse is a ...

The reason for the amelioration of N-methyl-N-nitrosoureainduced retinitis pigmentosa in rats by ...2017 - Eye - Retinal InjuryAim: To investigate the effects of hydrogen-rich saline (HRS) on microglia activation and Sirtuin type 1 (Sirt1) in rats with N-methyl-N-nitrosourea (MNU)-induced retinitis pigmentosa (RP). Methods: Rats were divided into norm (N) group, model (M) ...

The Comparative Efficiency of Intraperitoneal and Intravitreous Injection of Hydrogen Rich Saline ...2017 - Eye - Retinal InjuryRetinitis pigmentosa (RP) comprises a heterogeneous group of inherited retinal diseases leading to blindness. The present study explored the protective effects of hydrogen rich saline (HRS) against the photoreceptor degeneration in the ...

Protective effects of hydrogen-rich saline against N-methyl-N-nitrosourea-induced photoreceptor ...2016 - Eye - Retinal InjuryThe N-methyl-N-nitrosourea (MNU)-treated rat is typically used as an animal model of chemically-induced retinitis pigmentosa (RP). Reactive oxygen species (ROS) have been recognized as the crucial contributor to the retinal photoreceptor apoptosis ..."
Rhabdomyolysis,"Inhalation of 4% and 67% hydrogen ameliorates oxidative stress, inflammation, apoptosis, and ...2023 - Kidney - Acute Kidney InjuryAcute kidney injury (AKI) is the major complication of rhabdomyolysis (RM) clinically, which is usually mimicked by glycerol injection in basic research. Oxidative stress, inflammatory response and apoptosis are recognized to play important roles in ...

Pretreatment with hydrogen-rich saline reduces the damage caused by glycerol-induced rhabdomyolysis ...2014 - Kidney - Acute Kidney InjuryBackground: Rhabdomyolysis is a leading cause of acute kidney injury. The pathophysiological process involves oxidative stress and inflammation. Hydrogen-rich saline (HRS) is an antioxidant and anti-inflammatory. This study explored the protective ..."
Rheumatoid Arthritis,"NIR-photocatalytic regulation of arthritic synovial microenvironment2022 - Bone - Rheumatoid ArthritisSynovial microenvironment (SME) plays a vital role in the formation of synovial pannus and the induction of cartilage destruction in arthritis. In this work, a concept of the photocatalytic regulation of SME is proposed for arthritis treatment, and ...

Retracted: Hydrogen alleviates collagen-induced arthritis (CIA) in mice by inhibiting IL-22 levels2022 - Bone - Rheumatoid ArthritisObjective To investigate the therapeutic effect and mechanism of hydrogen (H2) on collagen-induced arthritis (CIA) in mice. Methods DBA/1 mice were randomly divided into normal control group, CIA group and CIA mice treated with H2 group (H2 treated ...

Magnesium-Based Micromotors as Hydrogen Generators for Precise Rheumatoid Arthritis Therapy2021 - Bone - Rheumatoid ArthritisHydrogen therapy is an emerging and highly promising strategy for the treatment of inflammation-related diseases. However, nonpolarity and low solubility of hydrogen under the physiological conditions results in a limited therapeutic effect. Herein, ...

Effect of H 2 treatment in a mouse model of rheumatoid arthritis-associated interstitial lung ...2019 - Lung - Rheumatoid ArthritisRheumatoid arthritis (RA)-associated interstitial lung disease (ILD), a primary cause of mortality in patients with RA, has limited treatment options. A previously established RA model in D1CC transgenic mice aberrantly expressed major ...

Molecular hydrogen decelerates rheumatoid arthritis progression through inhibition of oxidative ...2016 - Bone - Rheumatoid ArthritisRheumatoid arthritis (RA) is a chronic inflammatory disease which results in progressive destruction of the joint. In this study, we examined if the hydrogen could inhibit inflammation in a mouse model of collagen-induced arthritis (CIA) via ...

Therapeutic efficacy of infused molecular hydrogen in saline on rheumatoid arthritis: a randomized, ...2014 - Bone - Rheumatoid ArthritisThe aim of this study was to demonstrate the safety and efficacy of H2-saline infusion for treatment of rheumatoid arthritis (RA). We conducted a randomized, double-blind, placebo-controlled investigation of the infusion of 1 ppm H2-dissolved saline ...

Consumption of water containing a high concentration of molecular hydrogen reduces oxidative stress ...2012 - Bone - Rheumatoid ArthritisBackground: Rheumatoid arthritis (RA) is a chronic inflammatory disease characterized by the destruction of bone and cartilage. Although its etiology is unknown, the hydroxyl radical has been suggested to be involved in the pathogenesis of RA. ...

Molecular hydrogen inhibits lipopolysaccharide/interferon γ-induced nitric oxide production through ...2011 - Bone - Rheumatoid ArthritisMolecular hydrogen has been reported to be effective for a variety of disorders and its effects have been ascribed to the reduction of oxidative stress. However, we have recently demonstrated that hydrogen inhibits type I allergy through modulating ..."
Rhinitis,"The Beneficial Effects of Hydrogen-Rich Saline Irrigation on Chronic Rhinitis: A Randomized, ...2022 - Nose - RhinitisPurpose: Chronic rhinitis (CR) is a common chronic inflammation of the nasal mucosa. Nasal saline irrigation has been demonstrated to be an effective treatment for CR. In this study, we investigated the beneficial effects of hydrogen-rich saline ...

Changes of nasal nitric oxide in the treatment of allergic rhinitis with hydrogen-rich saline lavage ...2020 - Nose - RhinitisObjective:To observe the effect of hydrogen-rich saline on the concentration of nitric oxide in the nose, and to explore the mechanism of its treatment of allergic rhinitis. Method:Twenty patients with moderate to severe persistent allergic rhinitis ...

Clinical study of hydrogen-rich saline in the treatment of moderate to severe allergic rhinitis2018 - Nose - RhinitisObjective:To investigate the effectiveness and safety of nasal lavage with hydrogen-rich saline in the treatment of moderate to severe allergic rhinitis.Method:Twenty patients with moderate to severe persistent allergic rhinitis were treated with ...

Beneficial effects of hydrogen gas inhalation on a murine model of allergic rhinitis2018 - Nose - RhinitisAllergic rhinitis (AR) is a common chronic inflammatory condition. It has been previously indicated that oxidative stress may contribute to allergic inflammation, including AR. Although molecular hydrogen (H2), an antioxidative agent, has been ...

Changes in IL-4 and IL-13 expression in allergic-rhinitis treated with hydrogen-rich saline in ...2017 - Nose - RhinitisBackground: Medical gas hydrogen (H2) has a special role in airway inflammation; however, the effect of H2 on allergic rhinitis (AR) remains unclear. This study explored the possible roles of H2 on the pathogenesis of AR and observed the influences ...

Hydrogen-rich saline attenuates eosinophil activation in a guinea pig model of allergic rhinitis via ...2017 - Nose - RhinitisBackground: It is well considered that reactive oxygen species (ROS) plays a prominent causative role in the development of allergic rhinitis (AR), and eosinophils cells as important allergic inflammatory cells contribute to elevating oxidative ...

Effect of hydrogen-rich saline on the CD4(+) CD25(+) Foxp3(+) Treg cells of allergic rhinitis guinea ...2017 - Nose - RhinitisObjective: To explore the effect of hydrogen-rich saline on the CD4(+) CD25(+) Foxp3(+) Treg cells in a guinea pig model of allergic rhinitis (AR) and investigate the underling anti-inflammatory mechanism. Methods: Using random number table, eighteen ...

Hydrogen-Rich Saline Ameliorates Allergic Rhinitis by Reversing the Imbalance of Th1/Th2 and ...2017 - Nose - RhinitisIt is well known that CD4+CD25+Foxp3+Treg cells play an important role in the development of allergic rhinitis (AR); the defect of cell numbers and functions contribute to AR. Hydrogen has been proven effective in alleviating symptoms of AR. We ..."
Rhinosinusitis,"Electrolyzed acid water nasal irrigation after functional endoscopic sinus surgery2014 - Nose - RhinosinusitisElectrolyzed acid water (EAW) has been recognized to have strong bactericidal activity, and the feasibility and safety of EAW irrigation in body cavities has been reported in the literature. This study was conducted to evaluate the effect of EAW ...

Antibacterial effect of electrolysed acid water on the nasal discharge from patients with chronic ...2010 - Nose - RhinosinusitisThis study was conducted to determine whether electrolysed acid water (EAW) increased the antibacterial effect of irrigating solution used in the management of chronic rhinosinusitis (CRS). One hundred CRS patients were recruited from April 2008 to ..."
Seizure,"Hydrogen Alleviates Necroptosis and Cognitive Deficits in Lithium–Pilocarpine Model of Status ...2019 - Brain - SeizureStatus epilepticus without prompt seizure control always leads to neuronal death and long-term cognitive deficits, but effective intervention is still absent. Here, we found that hydrogen could alleviate the hippocampus-dependent spatial learning and ..."
Sensorineural Hearing Loss,"Space Station-like Composite Nanoparticles for Co-Delivery of Multiple Natural Compounds from ...2023 - Ear - Hearing LossOtotoxic drugs such as aminoglycoside antibiotics and cisplatin (CDDP) can cause sensorineural hearing loss (SNHL), which is closely related to oxidative stress and the acidification of the inner ear microenvironment. Effective treatment of SNHL ..."
Sepsis,"Hydrogen prevents lipopolysaccharide-induced pulmonary microvascular endothelial cell injury by ...2023 - Lung - SepsisBackground: Sepsis is a type of life-threatening organ dysfunction that is caused by a dysregulated host response to infection. The lung is the most vulnerable target organ under septic conditions. Pulmonary microvascular endothelial cells (PMVECs) ...

Micromotor-Enabled Active Hydrogen and Tobramycin Delivery for Synergistic Sepsis Therapy2023 - Whole Body - SepsisSepsis is a highly heterogeneous syndrome normally characterized by bacterial infection and dysregulated systemic inflammatory response that leads to multiple organ failure and death. Single anti-inflammation or anti-infection treatment exhibits ...

Hydrogen-rich saline regulates NLRP3 inflammasome activation in sepsis-associated encephalopathy rat ...2023 - Brain - SepsisSepsis-associated encephalopathy (SAE) is characterised by long-term cognitive impairment and psychiatric illness in sepsis survivors, associated with increased morbidity and mortality. There is a lack of effective therapeutics for SAE. Molecular ...

Inhaled molecular hydrogen reduces hippocampal neuroinflammation, glial reactivity and ameliorates ...2023 - Brain - SepsisSepsis is associated with numerous physiological and biochemical abnormalities that result in a life-threatening condition. The involvement of the Central Nervous System (CNS) during sepsis has received considerable attention, especially the ...

Hydrogen alleviated cognitive impairment and blood‒brain barrier damage in sepsis-associated ...2023 - Brain - SepsisHydrogen (H2) can protect against blood‒brain barrier (BBB) damage in sepsis-associated encephalopathy (SAE), but the mechanism is still unclear. We examined whether it is related to PPARα and its regulatory targets, ABC efflux transporters. After ...

APOA2: New Target for Molecular Hydrogen Therapy in Sepsis-Related Lung Injury Based on Proteomic ...2023 - Lung - SepsisTarget biomarkers for H2 at both the protein and genome levels are still unclear. In this study, quantitative proteomics acquired from a mouse model were first analyzed. At the same time, functional pathway analysis helped identify functional ...

High Concentration Hydrogen Mitigates Sepsis-Induced Acute Lung Injury in Mice by Alleviating ...2023 - Lung - SepsisBackground: Multiple organ failure (MOF) is the main cause of early death in septic shock. Lungs are among the organs that are affected in MOF, resulting in acute lung injury. A large number of inflammatory factors and stress injury in sepsis can ...

Hydrogen regulates mitochondrial quality to protect glial cells and alleviates sepsis-associated ...2023 - Brain - SepsisBackground: Sepsis-associated encephalopathy (SAE) is a complication of the central nervous system in patients with sepsis. Currently, no effective treatment for sepsis is available. Hydrogen plays a protective role in different diseases; however, ...

Molecular hydrogen attenuates sepsis-induced cognitive dysfunction through regulation of tau ...2023 - Brain - SepsisBackground: Sepsis-associated encephalopathy (SAE) is a cognitive dysfunction caused by sepsis. Hyperphosphorylated tau is considered to play a significant role in the progression of neurodegenerative disease and also contributes to cognitive ...

Effects of hydrogen-rich saline in neuroinflammation and mitochondrial dysfunction in rat model of ...2022 - Brain - SepsisBackground: Sepsis-associated encephalopathy (SAE) is one of the most common types of sepsis-related organ dysfunction without overt central nervous system (CNS) infection. It is associated with higher mortality, low quality of life, and long-term ..."
Shingles,"Hydrogen-rich saline attenuates hyperalgesia and reduces cytokines in rats with post-herpetic ...2017 - Skin - ShinglesObjective: To investigate the role of autophagy in hydrogen-rich saline attenuating post-herpetic neuralgia( PHN) in rats. Methods: A total of 100 male SD rats were randomly divided into the five groups( n = 20) : control group,PHN group,PHN group ..."
Shock,"Hydrogen gas inhalation ameliorates lung injury after hemorrhagic shock and resuscitation2019 - Lung - ShockBackground: Hemorrhagic shock and resuscitation (HSR) is known to cause inflammatory reactions in the lung parenchyma and acute lung injury, increasing the risk of complications that can lead to death. Hydrogen gas has shown to inhibit the formation ...

Hyperoxygenated Hydrogen-Rich Solution Suppresses Lung Injury Induced by Hemorrhagic Shock in Rats2019 - Lung - ShockBackground: Hemorrhagic shock could induce acute lung injury (ALI), which is associated with cell hypoxia, lung tissue inflammation, free radical damage, and excessive cell apoptosis. Our previous studies demonstrated that hyperoxygenated solution ...

Hydrogen gas inhalation inhibits progression to the ‘irreversible’ stage of shock after ...2017 - Whole Body - ShockBackground: Mortality of hemorrhagic shock primarily depends on whether or not the patients can endure the loss of circulating volume until radical treatment is applied. We investigated whether hydrogen (H2) gas inhalation would influence the ...

Hyperoxygenated hydrogen-rich solution suppresses shock- and resuscitation-induced liver injury2017 - Liver - ShockBackground: It is not known whether simultaneous delivery of hydrogen and oxygen can reduce injury caused by hemorrhagic shock and resuscitation (HSR). This study investigated the therapeutic potential of hyperoxygenated hydrogen-rich solution ...

Hydrogen-rich saline resuscitation alleviates inflammation induced by severe burn with delayed ...2015 - Whole Body - ShockSevere burns with delayed resuscitation are associated with high morbidity which is attributed to ischemia–reperfusion injury. This study was undertaken to investigate the effect of hydrogen-rich saline known as a significant selective antioxidant ...

Hydrogen inhalation protects against acute lung injury induced by hemorrhagic shock and ...2015 - Lung - ShockHemorrhagic shock followed by fluid resuscitation (HS/R) triggers an inflammatory response and causes pulmonary inflammation that can lead to acute lung injury (ALI). Hydrogen, a therapeutic gas, has potent cytoprotective, antiinflammatory, and ...

Three hydrogen-rich solutions protect against intestinal injury in uncontrolled hemorrhagic shock2015 - Intestine - ShockIntestinal tissue got largely decreased blood supply in uncontrolled hemorrhagic shock, because of limited blood mainly supporting brain, heart, kidney etc. This makes intestine as the primary injury target after uncontrolled hemorrhagic shock. ...

Effects of three hydrogen-rich liquids on hemorrhagic shock in rats2014 - Lung - ShockBackground Hydrogen-rich saline provides a high concentration of hydrogen which selectively reduces levels of hydroxyl radicals and alleviates acute oxidative stress in many models. We investigated the protective effects and mechanisms of three ...

Protective effects of hydrogen-rich saline in uncontrolled hemorrhagic shock2014 - Whole Body - ShockHydrogen is considered to be a novel antioxidant as it inhibits inflammation, removes oxygen-derived free radicals and reduces oxidative damage. This study investigated the effects of hydrogen-rich saline on plasma interleukin-6 (IL-6), tumor ...

Protective effect of hydrogen-lactated Ringer’s solution against extensive burn-induced ...2012 - Intestine - ShockObjective To investigate the protective effect of hydrogen-rich lactated Ringer’s solution (HRS) against intestine injury induced by extensive burn in Sprague-Dewley (SD) rat model after delayed fluid resuscitation. Methods Thirty-six male SD rats ..."
Sleep Apnea,"Hydrogen and Oxygen Mixture to Improve Cardiac Dysfunction and Myocardial Pathological Changes ...2019 - Heart - Sleep ApneaObstructive sleep apnea (OSA) can cause intermittent changes in blood oxygen saturation, resulting in the generation of many reactive oxygen species (ROS). To discover new antioxidants and clarify the endoplasmic reticulum (ER) stress involved in ...

Hydrogen gas reduces chronic intermittent hypoxia-induced hypertension by inhibiting sympathetic ...2019 - Whole Body - Sleep ApneaMolecular hydrogen is reported to be used medically to ameliorate various systemic pathological conditions. This study aimed to investigate the effect of hydrogen (H2 ) gas on hypertension induced by intermittent hypoxia in rats. The adult rats were ...

Hydrogen Gas Alleviates Chronic Intermittent Hypoxia-Induced Renal Injury through Reducing Iron ...2019 - Kidney - Sleep ApneaIron-induced oxidative stress has been found to be a central player in the pathogenesis of kidney injury. Recent studies have indicated H2 can be used as a novel antioxidant to protect cells. The present study was designed to investigate the ...

Hydrogen protects against chronic intermittent hypoxia induced renal dysfunction by promoting ...2019 - Kidney - Sleep ApneaAims Hydrogen gas (H2) has a diversity of effects such as anti-apoptotic, anti-inflammatory and anti-oxidative properties. However, molecular mechanism underlying the potential effect of H2 on chronic intermittent hypoxia (CIH) induced renal injury ...

Hydrogen ameliorates chronic intermittent hypoxia-induced neurocognitive impairment via inhibiting ...2018 - Brain - Sleep ApneaObstructive sleep apnea (OSA) is a very common breathing and sleep disorder characterized by intermittent hypoxia (IH), which is often associated with behavioral and neurocognitive functions impairment. Hydrogen (H2), as a novel and effective ...

Improvement of hydrogen on liver oxidative stress injury in chronic intermittent hypoxia rats2017 - Liver - Sleep ApneaOBJECTIVE:To explore the effects of hydrogen on liver injury in chronic intermittent hypoxia rats and the related oxidative stress mechanism. METHODS:Twenty-four male adult SD rats were randomly divided into 3 groups(n=8):the normoxia group (Norm), ...

Hydrogen gas attenuates embryonic gene expression and prevents left ventricular remodeling induced ...2014 - Heart - Sleep ApneaThe prevalence of sleep apnea is much higher in patients with heart failure, and intermittent hypoxia (IH) relevant to sleep apnea might induce left ventricular (LV) remodeling. The aim of this study was to investigate the effect of repetitive ...

Inhalation of hydrogen gas attenuates left ventricular remodeling induced by intermittent hypoxia in ...2011 - Heart - Sleep ApneaSleep apnea syndrome increases the risk of cardiovascular morbidity and mortality. We previously reported that intermittent hypoxia increases superoxide production in a manner dependent on nicotinamide adenine dinucleotide phosphate and accelerates ..."
Sleep Deprivation,"Hydrogen-rich water and caffeine for alertness and brain metabolism in sleep-deprived habitual ...2021 - Brain - Sleep DeprivationThe main aim of this randomized-controlled cross-over interventional trial was to assess the acute effects of taking a single dose of hydrogen-rich water (HRW), and compare it with caffeine, HRW plus caffeine, and control water, for alertness, brain ...

Hydrogen vs. Caffeine for Improved Alertness in Sleep-Deprived Humans2020 - Brain - Sleep DeprivationMolecular hydrogen (H2) has been suggested as an agent capable of exerting neuromodulating effects; yet, its potential to affect brain circuits linked to alertness remains poorly examined. In this randomized controlled cross-over pilot trial, we ..."
Spinal Cord Injury,"Protective Effect of Hydrogen-Rich Saline on Spinal Cord Damage in Rats2023 - Spine - Spinal Cord InjuryThe anti-inflammatory and anti-apoptotic effects of molecular hydrogen, delivered as hydrogen-rich saline (HRS), on spinal cord injury was investigated. Four-month-old male Sprague Dawley rats (n = 24) were classified into four groups: (1) ...

Hydrogen Promotes the Effectiveness of Bone Mesenchymal Stem Cell Transplantation in Rats with ...2023 - Spine - Spinal Cord InjuryAlthough bone mesenchymal stem cell (BMSC) transplantation has been applied to the treatment of spinal cord injury (SCI), the effect is unsatisfactory due to the specific microenvironment (inflammation and oxidative stress) in the SCI area, which ...

Inhalation of Hydrogen of Different Concentrations Ameliorates Spinal Cord Injury in Mice by ...2018 - Spine - Spinal Cord InjuryBackground/aims: Hydrogen selectively neutralizes reactive oxygen species (ROS) and ameliorates various ROS-induced injuries. Spinal cord injury (SCI) is a serious injury to the central nervous system, and secondary SCI is closely related to ...

Hydrogen-rich saline attenuates spinal cord hemisection-induced testicular injury in rats2017 - Testes - Spinal Cord InjuryTo study how hydrogen-rich saline (HS) promotes the recovery of testicular biological function in a hemi-sectioned spinal cord injury (hSCI) rat model, a right hemisection was performed at the T11-T12 of the spinal cord in Wistar rats. Animals were ...

Hydrogen-rich saline injection into the subarachnoid cavity within 2 weeks promotes recovery after ...2015 - Spine - Spinal Cord InjuryHydrogen can relieve tissue-damaging oxidative stress, inflammation and apoptosis. Injection of hydrogen-rich saline is an effective method for transporting molecular hydrogen. We hypothesized that hydrogen-rich saline would promote the repair of ...

Molecular hydrogen suppresses reactive astrogliosis related to oxidative injury during spinal cord ...2014 - Spine - Spinal Cord InjuryAims: Spinal cord injury (SCI) can induce excessive astrocyte activation. Hydrogen has been deemed as a novel antioxidant. We investigated whether molecular hydrogen could act as an antiastrogliosis agent during SCI and oxidative injury in ...

Hydrogen-Rich Saline Protects Against Spinal Cord Injury in Rats2010 - Spine - Spinal Cord InjuryIn the present study, we examined the mechanisms of hydrogen-rich saline, a reported therapeutic antioxidant, in the treatment of acute spinal cord contusion injury. Male Sprague-Dawley rats were used to produce a standardized model of contuses ..."
Sprain,"Supersaturated Hydrogen-Rich Water Hydrotherapy for Recovery of Acute Injury to the Proximal ...2021 - Bone - ExcerciseBackground: Traditional treatments of soft tissue injuries (STIs) and some musculoskeletal injuries (MSK-Is) involves therapies such as the RICE protocol, which consists of rest, ice, compression and elevation for several days following acute trauma. ...

Case Report: Acute hydrotherapy with super-saturated hydrogen-rich water for ankle sprain in a ...2020 - Bone - ExcerciseBackground: The traditional treatment of soft tissue injuries consists of the RICE protocol - rest, ice, compression, and elevation, followed for up to 72 hours after a trauma. Although designed as an immediate therapy to reduce inflammation that ...

Hydrotherapy with hydrogen-rich water compared with RICE protocol following acute ankle sprain in ...2020 - Bone - ExcerciseWe analysed the effects of an experimental novel protocol of intensive hydrotherapy with hydrogen-rich water (HRW) on injury recovery in athletic men who suffered an acute ankle sprain (AAS) and compared it with a RICE protocol (rest, ice, ...

Effectiveness Of Molecular Hydrogen In The Management Of Musculotendinous Injuries2014 - Tendon - ExcerciseMuscle and tendon strains (MTS) are often accompanied by subsequent tissue hypoxia and overproduction of reactive oxygen species; this may aggravate the initial cellular damage caused by the actual mechanism of injury. Molecular hydrogen (H2) seems ...

Effectiveness of Oral and Topical Hydrogen for Sports-Related Soft Tissue Injuries2014 - Tendon - ExcerciseBackground: Because hydrogen therapy has been found beneficial for the treatment of inflammation, ischemia-reperfusion injury, and oxidative stress in humans, it seems useful to evaluate the effects of exogenously administered hydrogen as an element ..."
Status Epilepticus,"Hydrogen Alleviates Necroptosis and Cognitive Deficits in Lithium–Pilocarpine Model of Status ...2019 - Brain - SeizureStatus epilepticus without prompt seizure control always leads to neuronal death and long-term cognitive deficits, but effective intervention is still absent. Here, we found that hydrogen could alleviate the hippocampus-dependent spatial learning and ..."
Stress Ulcer,"The protective of hydrogen on stress-induced gastric ulceration2012 - Stomach - Gastric UlcerStress ulceration frequently occurs as a result of major stressful events and hydroxyl radical (⋅OH) is one of the major causative factors for it. Recently, it has been proved that hydrogen, a potent selectively ⋅OH scavenger, can effectively ..."
Stroke,"Hydrogen‑rich saline promotes neuronal recovery in mice with cerebral ischemia through the ...2023 - Brain - StrokeThis study explored the protective effect and mechanism of hydrogen‑rich saline (HRS) on the neurological function of mice with cerebral ischemia. Effects of HRS on neurological function in mice with cerebral ischemia were evaluated by neurological ...

The Role of LincRNA-EPS/Sirt1/Autophagy Pathway in the Neuroprotection Process by Hydrogen against ...2023 - Brain - StrokeCerebral ischemia/reperfusion (CI/R) injury causes high disability and mortality. Hydrogen (H2) enhances tolerance to an announced ischemic event; however, the therapeutic targets for the effective treatment of CI/R injury remain uncertain. Long ...

Gender-based differences in neuroprotective effects of hydrogen gas against intracerebral ...2022 - Brain - StrokeBackground: Post-stroke depression (PSD) severely affects recovery in patients with intracerebral hemorrhage (ICH). Although hydrogen gas (H2) exerts excellent neuroprotective effects in patients with ICH, there are sex-based differences in H2 ...

Hydrogen‐Powered Microswimmers for Precise and Active Hydrogen Therapy Towards Acute Ischemic ...2021 - Brain - StrokeBiodegradable microswimmers offer great potential for minimally invasive targeted therapy due to their tiny scale, multifunctionality, and versatility. However, most of the reported systems focused on the proof‐of‐concept on the in vitro level. ...

Protective effects of hydrogen-rich saline in a rat model of permanent focal cerebral ischemia via ...2012 - Brain - StrokeHydrogen gas (H(2)) as a new medical gas exerts organ-protective effects through regulating oxidative stress, inflammation and apoptosis. In contrast to H(2), hydrogen-rich saline (HS) may be more suitable for clinical application. The present study ...

Hydrogen Inhalation is Neuroprotective and Improves Functional Outcomes in Mice After Intracerebral ...2011 - Brain - StrokeOxidative stress contributes significantly to the development of secondary brain injury after intracerebral hemorrhage (ICH). It has been previously demonstrated that hydrogen gas can decrease oxidative stress by scavenging reactive oxygen species. ...

Hydrogen saline offers neuroprotection by reducing oxidative stress in a focal cerebral ...2011 - Brain - StrokeHydrogen gas is neuroprotective in cerebral ischemia animal models. In this study, we tested the neuroprotective effects of hydrogen saline, which is safe and easy to use clinically, in a rat model of middle cerebral artery occlusion (MCAO). ...

Hydrogen supplemented air inhalation reduces changes of prooxidant enzyme and gap junction protein ...2011 - Brain - StrokeTransient global cerebral ischemia (TGCI) occurs during acute severe hypotension depriving the brain of oxygen and glucose for a short period of time. During reperfusion, several mechanisms can induce secondary neuronal damage, including the ...

Hydrogen Gas Reduced Acute Hyperglycemia-Enhanced Hemorrhagic Transformation In A Focal Ischemia Rat ...2011 - Brain - StrokeHyperglycemia is one of the major factors for hemorrhagic transformation after ischemic stroke. In this study, we tested the effect of hydrogen gas on hemorrhagic transformation in a rat focal cerebral ischemia model. Sprague-Dawley rats (n=72) were ...

Protective effect of saturated hydrogen saline against cerebral ischemia-reperfusion injury in rats2010 - Brain - StrokeObjective To study the protective effect of saturated hydrogen saline against cerebral ischemia-reperfusion injury and the related mechanism. Methods Rat middle cerebral artery occlusion (MCAO) models were established by thread ligation of the middle ..."
Testicular Injury,"Inhaled hydrogen gas therapy for prevention of testicular ischemia/reperfusion injury in rats2012 - Testes - Testicular InjuryThis study evaluated whether 2% hydrogen (H(2)) gas therapy protects against testicular ischemia/reperfusion injury which results in increased formation of reactive oxygen species and/or reactive nitrogen species, leading to testicular apoptosis and ...

Protective Effects of Hydrogen Rich Saline Solution on Experimental Testicular Ischemia-Reperfusion ...2012 - Testes - Testicular InjuryWe examined the effectiveness of hydrogen rich saline solution on the prevention of testicular damage induced by ischemia/reperfusion in rats. Male Sprague-Dawley® rats were divided randomly into 4 groups, including group 1-sham operated, group ..."
Tracheal Stenosis,"Breathing Hydrogen-Oxygen Mixture Decreases Inspiratory Effort in Patients with Tracheal Stenosis2018 - Lung - Tracheal StenosisBackground: Hydrogen-oxygen mixture (H2-O2) may reduce airway resistance in patients with acute severe tracheal stenosis, yet data supporting the clinical use of H2-O2 are insufficient. Objectives: To evaluate the efficacy and safety of breathing ..."
