ID,First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Rank,Model,Primary Topic,Secondary Topic,Tertiary Topic,Vehicle,pH,Application,Comparison,Complement,Country
11,"Indrajani, Olly","Retnaningtyas, Ekowati; Santoso, Hendry","Setyabudhi, Veronica Verina",Hydrogen water therapy in histopathological improvement of diabetic nephropathy on streptozotocin-induced diabetic rats,2021,AIP Conference Proceedings,10.1063/5.0053002,"Diabetic nephropathy (DN) is a renal microvascular abnormality resulting from chronic complications of diabetes mellitus (DM). The main cause of DN is a chronic condition of hyperglycemia which induces oxidative stress in the microvascular system and causes progressive renal failure. Hydrogen water (HW) shows potential in reducing ROS, and anti-inflammatory. This study aims to develop HW therapy in the improvement of renal histopathology in streptozotocin-induced DM rats. DM induction in rats with a HFD for four weeks then injected with STZ (35 mg/kg BW) intraperitonially. DM rats were divided into 4 groups: DM; DM+Met (DM+metformin dose 45 mg/kg BW); DM+HW; and DM+Met+HW (DM+combination of metformin and HW). Rats were treated with HW or metformin for fourteen days and given orally per day. At the end of the treatment, rats were dissected, and the kidneys were collected. Renal histopathological improvement was evaluated by scoring the H&E-stained kidney sections, then analyzed using ANOVA (p < 0.05). The results showed that HW therapy and a combination of HW with metformin were able to significantly improve renal microvascular damage (p < 0.05) compared to the DM rat group. Hydrogen water has the potential to treat DM chronic complications through renal microvascular repair in STZ-induced diabetic rats.",Positive,Rat,Kidney,Diabetes,Diabetic Nephropathy,Water (Electrolysis),Neutral,Injection,,,Indonesia
12,"Kato, Shinya","Saitoh, Yasukazu","Miwa, Nobuhiko",Carcinostatic effects of alkanoyl ascorbate plus platinum nano-colloid and stabilization of the esterolytically resultant ascorbate by hydrogen ,2021,Human Cell,10.1007/s13577-020-00462-3 ,"Carcinostatic effects of combined use of ascorbic acid (Asc), 2-O-phospho- or 6-O-palmitoyl ascorbate (Asc2Phos, Asc6Palm) or diverse alkanoyl Asc, and nano-sized platinum-poly(N-vinyl-pyrrolidone) colloid (PVP-Pt; 2-nm diameter) were examined on human esophagus carcinoma-derived cells KYSE70. Cell viability was repressed by 'Asc6Palm + PVP-Pt' mixture more markedly than by Asc6Palm or PVP-Pt alone, together with cell shrinkage and fragmentation, in contrast to no additive carcinostatic effect of 'Asc + PVP-Pt' or 'Asc2Phos + PVP-Pt'. The effects might be partly due to efficiency for intracellular uptake of PVP-Pt, as previously shown by our studies that Pt atoms composed of PVP-Pt were incorporated into human tongue carcinoma cells by 9.6-fold compared to normal human tongue epitheliocytes. Asc6Palm was advantageous for intracellular uptake, in terms of the proper balance for molecular hydrophilicity-lipophilicity (BMHL), whereas 6-O-stearoyl (C18) Asc or 2,6-O-dipalmitoyl (2 × C16) was demonstrated to be less carcinostatic owing to a lower BMHL. Although esterolytically converted from Asc6Palm, Asc was necessitated to be retained for efficient carcinostasis, and demonstrated by HPLC-coulometric ECD analysis to be appreciably stabilized in electrolytically generated hydrogen (dissolved hydrogen: 0.575 mg/L)-water, but scarcely in hydrogen-gas-bubbled water (0.427 mg/L), Mg stick-derived hydrogen (0.044 mg/L) water, or tap water, suggesting that hydrogen-rich water suppresses oxidative decomposition of Asc. Thus, Asc6Palm plus PVP-Pt with hydrogen-rich water supplement might be applicable for carcinostatic therapy. ",Positive,Cell Culture,Mouth,Cancer,Novel Therapy,Water (Electrolysis),Neutral,Culture Media,,Vitamin C; Ascorbate; Platinum,Japan
13,"Kato, Shinya","Takada, Yuki","Miwa, Nobuhiko",Heat-retention effects of hydrogen-rich water bath assessed by thermography for humans ,2021,Journal of Thermal Biology,10.1016/j.jtherbio.2020.102805 ,"Hydrogen-rich water bath devices are commercially available, but have been scarcely clarified for heat-retention effects. In this study, heat-retention effects of hydrogen-rich water bath were assessed by thermographic clinical trials, which employed twenty-four healthy subjects. The thermograms indicated that, under the same conditions (41 °C, 10-min bathing), hydrogen-rich water bath (hydrogen concentrations: 185-548 μg/L; oxidation-reduction potentials: -167 to -91 mV, versus 0.8 μg/L and +479 mV for normal bath, respectively) brought about the heat-retention being more marked than those of normal water bath for several body-parts in the order as follows: abdomen > upper legs > arms > hands > feet, for 30- and 60-min post-bathing, being in contrast to scarce heat-retention for head, armpits and lower legs. Then, as reflection to promotive effects on blood stream, we also examined the thickness of fingertip-capillary in hands. The thickness was expanded in the hydrogen-rich water bath more markedly than that in the normal water bath, suggesting that the hydrogen-rich water bath may have the hydrogen-based promotive effect, exceeding over mere heat retention-based effects, on blood circulation of the whole body. Meanwhile, the heat-retention in hydrogen-rich water bath weakly or moderately correlated with contents of the subcutaneous fat, whole body fat and body mass index, and inversely correlated with skeletal muscle rates, although their correlation degrees did not obviously exceed over normal water bath, with a poor relation with the basal metabolism rate. Thus, the hydrogen-rich water bath was suggested to exert heat-retention effects exceeding over normal water bath, in diverse body-parts such as abdomen, upper legs, arms and hands, via promotion to blood flow which was reflected by expanding the thickness of capillary. The heat-retention after bathing can be noted as effects of the hydrogen-rich water bath, which is applicable for most of people widespread regardless of their body composition index. ",Positive,Human,Whole Body,Stress Resilience,Heat Retention,Water (Electrolysis),Neutral,Bath,,,Japan
14,"Kubota, Miyuki","Kawashima, Motoko; Inoue, Sachiko; Imada, Toshihiro; Nakamura, Shigeru; Kubota, Shunsuke; Watanabe, Mitsuhiro; Takemura, Ryo","Tsubota, Kazuo","Randomized, crossover clinical efficacy trial in humans and mice on tear secretion promotion and lacrimal gland protection by molecular hydrogen ",2021,Nature Scientific Reports,10.1038/s41598-021-85895-y ,"The incidence of dry eye disease is increasing worldwide because of the aging population and increasing use of information technology. Dry eye disease manifests as tear-layer instability and inflammation caused by osmotic hypersensitization in tear fluids; however, to our knowledge, no agent that treats both pathologies simultaneously is available. Molecular hydrogen (H2) is known to be effective against various diseases; therefore, we aimed to elucidate the effects of H2 on tear dynamics and the treatment of dry eye disease. We revealed that administering a persistent H2-generating supplement increased the human exhaled H2 concentration (p < 0.01) and improved tear stability (p < 0.01) and dry eye symptoms (p < 0.05) significantly. Furthermore, H2 significantly increased tear secretion in healthy mice (p < 0.05) and significantly suppressed tear reduction in a murine dry eye model (p = 0.007). H2 significantly and safely improved tear stability and dry eye symptoms in a small exploratory group of 10 human subjects, a subset of whom reported dry eye symptoms prior to treatment. Furthermore, it increased tear secretion rapidly in normal mice. Therefore, H2 may be a safe and effective new treatment for dry eye disease and thus larger trials are warranted. ",Positive,Human,Eye,Dry Eye,Inflammation,Gas (Sustained Release),N/A,Ingestion,,,Japan
15,"Li, Kun","Yin, Hongling; Duan, Yi; Lai, Peizhen; Cai, Yancheng","Wei, Youzhen",Pre-inhalation of hydrogen-rich gases protect against caerulein-induced mouse acute pancreatitis while enhance the pancreatic Hsp60 protein expression,2021,BMC Gastroenterology,10.1186/s12876-021-01640-9,"Background: Acute pancreatitis (AP) lacks targeted prevention and treatment measures. Some key points in the pathogenesis of AP remain unclear, such as early activation of pancreatic enzymes. Several recent reports have shown the protective effect of hydrogen on several AP animal models, and the mechanism is related to antioxidant activity. Heat shock protein 60 (Hsp60) is known to accompany pancreatic enzymes synthesis and secretion pathway of in pancreatic acinar cells, while role of hsp60 in AP remains a topic. Aim of this study was to investigate effect of hydrogen pretreatment on AP and the mechanisms, focusing on pancreatic oxidative stress and Hsp60 expression. Methods: 80 mice were randomly assigned into four groups: HAP group, AP group, HNS group, and NS group and each group were set 3 observation time point as 1 h, 3 h and 5 h (n = 6-8). Mouse AP model was induced by intraperitoneal injection of 50 μg/kg caerulein per hour for 6 injections both in AP and HAP groups, and mice in NS group and HNS group given normal saline (NS) injections at the same way as control respectively. Mice in HAP group and HNS group were treated with hydrogen-rich gases inhalation for 3 days before the first injection of caerulein or saline, while mice in AP group and NS group in normal air condition. Histopathology of pancreatic tissue, plasma amylase and lipase, plasma IL-1 and IL-6, pancreatic glutathione (GSH) and malondialdehyde (MDA), and Hsp60 mRNA and protein expression were investigated. Comparisons were made by one-way analysis of variance. Results: The pancreatic pathological changes, plasma amylase and lipase activity, and the increase of plasma IL-1 and IL-6 levels in AP mice were significantly improved by the hydrogen-rich gases pretreatment, Meanwhile, the pancreatic GSH content increased and the pancreatic MDA content decreased. And, the hydrogen-rich gases pretreatment improved the Hsp60 protein expression in pancreatic tissues of AP mice at 1 h and 5 h. Conclusions: Pre-inhalation of hydrogen-rich gases have a good protective effect on AP mice, and the possible mechanisms of reduced oxidative stress and the early increased pancreatic Hsp60 protein deserve attention.
",Positive,Mouse,Pancreas,Pancreatitis,Oxidative Stress,Gas,N/A,Inhalation,,Oxygen,China
16,"Li, Qian","Hu, Liang; Li, Juan; Yu, Pan; Hu, Fan; Wan, Bing; Xu, Miaomiao; Cheng, Huixian; Yu, Wanyou; Jiang, Liping; Shi, Yadan; Li, Jincan; Duan, Manlin; Long, Yun","Liu, Wen-Tao",Hydrogen Attenuates Endotoxin-Induced Lung Injury by Activating Thioredoxin 1 and Decreasing Tissue Factor Expression ,2021,Frontiers in Immunology,10.3389/fimmu.2021.625957 ,"Endotoxin-induced lung injury is one of the major causes of death induced by endotoxemia, however, few effective therapeutic options exist. Hydrogen inhalation has recently been shown to be an effective treatment for inflammatory lung injury, but the underlying mechanism is unknown. In the current study we aim to investigate how hydrogen attenuates endotoxin-induced lung injury and provide reference values for the clinical application of hydrogen. LPS was used to establish an endotoxin-induced lung injury mouse model. The survival rate and pulmonary pathologic changes were evaluated. THP-1 and HUVECC cells were cultured in vitro. The thioredoxin 1 (Trx1) inhibitor was used to evaluate the anti-inflammatory effects of hydrogen. Hydrogen significantly improved the survival rate of mice, reduced pulmonary edema and hemorrhage, infiltration of neutrophils, and IL-6 secretion. Inhalation of hydrogen decreased tissue factor (TF) expression and MMP-9 activity, while Trx1 expression was increased in the lungs and serum of endotoxemia mice. LPS-stimulated THP-1 and HUVEC-C cells in vitro and showed that hydrogen decreases TF expression and MMP-9 activity, which were abolished by the Trx1 inhibitor, PX12. Hydrogen attenuates endotoxin-induced lung injury by decreasing TF expression and MMP-9 activity via activating Trx1. Targeting Trx1 by hydrogen may be a potential treatment for endotoxin-induced lung injury. ",Positive,Mouse,Lung,Lung Injury,Endotoxemia,Gas,N/A,Inhalation,,,China
17,"Li, Qing","Zhang, Haifang; Jia, Zhen; Zhang, Linlin; Li, Yize; Xu, Rubin; Wang, Chunyan","Yu, Yonghao","Hydrogen enriched saline alleviates morphine tolerance via inhibiting neuroinflammation, GLT-1, GS nitration and NMDA receptor trafficking and functioning in the spinal cord of rats",2021,Neuroscience Letters,10.1016/j.neulet.2021.135847 ,"The development and maintenance of morphine tolerance showed association with neuroinflammation and dysfunction of central glutamatergic system (such as nitration of glutamate transporter). Recent evidence indicated that hydrogen could reduce the levels of neuroinflammation and oxidative stress, but its role in morphine tolerance has not been studied. The rats were intrathecally administered with morphine (10 µg/10 µl each time, twice/day for 5 days). Hydrogen enriched saline (HS) or saline was given intraperitoneally at 1, 3 and 10 ml/kg for 10 min before each dose of morphine administration. The tail-flick latency, mechanical threshold and thermal latency were assessed one day (baseline) before and daily for up to 5 days during morphine injection. The pro-inflammatory cytokine expressions [tumor necrosis factor-alpha (TNF-α), interleukin-1β (IL-1β), IL-6)] (by western blotting), astrocyte activation (by immunofluorescence and western blotting), and nitration of glutamate transporter-1 (GLT-1) and glutamine synthetase (GS) (by immunoprecipitation), membrane and total expression of N-methyl-D-aspartic acid (NMDA) receptor NR1 and NR2B subunits were carried out in the spinal dorsal horns. Chronic morphine administration induced antinociceptive tolerance, and together led to increased TNF-α, IL-1β and IL-6 expression, astrocyte activation, GLT-1 and GS nitration, increased membrane and total NR1, NR2B expression. Injection of HS attenuated morphine tolerance in a dose-dependent manner, decreased proinflammatory cytokine expression, inhibited astrocyte activation, decreased GLT-1 and GS nitration, and inhibited membrane trafficking of NMDA receptor. Our result showed that hydrogen pretreatment prevented morphine tolerance by reducing neuroinflammation, GLT-1, GS nitration, NMDA receptor trafficking in the spinal dorsal horn. Pretreatment with hydrogen might be considered as a novel therapeutic strategy for the prevention of morphine tolerance. ",Positive,Rat,Brain,Addiction,Drug Toxicity (Morphine),Saline (Dissolved),Neutral,Injection,,,China
18,"Li, Shao-Wei","Takahara, Terumi; Que, Weitao; Fujino, Masayuki; Guo, Wen-Zhi; Hirano, Shin-Ichi; Ye, Li-Ping","Li, Xiao-Kang",Hydrogen-rich water protects liver injury in nonalcoholic steatohepatitis though HO-1 enhancement via IL-10 and Sirt 1 signaling ,2021,American Journal of Physiology: Gastrointestinal and Liver Physiology,10.1152/ajpgi.00158.2020 ,"Nonalcoholic steatohepatitis (NASH) could progress to hepatic fibrosis when absence of effective control. The purpose of our experiment was to investigate the protective effect of drinking water with high concentration of hydrogen in our study named hydrogen rich water (HRW) on mice with non-alcoholic fatty liver disease to elucidate the mechanism underlying the molecular hydrogen therapeutic action. The choline-supplemented, L-amino acid-defined (CSAA) or choline-deficient, L-amino acid-defined (CDAA) diet for 20 weeks were used to induce NASH and fibrosis in the mice model and simultaneously treated with HRW for different periods of time. Primary hepatocytes were stimulated by palmitate in order to mimic a liver lipid metabolism during fatty liver formation. Mice in the CSAA + HRW group had lower serum levels of ALT and AST and milder histological damage. The inflammatory cytokines were expressed at lower levels in the HRW group than in the CSAA group. Importantly, HRW reversed hepatocyte apoptosis as well as hepatic inflammation and fibrosis in pre-existing hepatic fibrosis specimens. Molecular hydrogen inhibits the lipopolysaccharide-induced production of inflammation cytokines through an HO-1/IL-10-independent pathway. Furthermore, HRW improved hepatic steatosis in the CSAA + HRW group. Sirt1 induction by molecular hydrogen via the HO-1/AMPK/PPARα/PPARγ pathway suppresses palmitate-mediated abnormal fat metabolism. Orally administered HRW suppressed steatosis induced by CSAA and attenuated fibrosis induced by CDAA, possibly by reducing oxidative stress and the inflammation response. ",Positive,Mouse,Liver,Non-Alcoholic Steatohepatitis (NASH),Oxidative Stress,Water (Electrolysis),Neutral,Ingestion,,,China
19,"Lian, Naqi","Shen, Mengxi; Zhang, Kai; Pan, Jiacheng; Jiang, Yi; Yu, Yang","Yu, Yonghao",Drinking Hydrogen-Rich Water Alleviates Chemotherapy-Induced Neuropathic Pain Through the Regulation of Gut Microbiota ,2021,Journal of Pain Research,10.2147/JPR.S288289 ,"Introduction: Chemotherapy-induced neuropathic pain (CINP) is one of the most common complications of chemotherapeutic drugs which limits the dose and duration of potentially life-saving anticancer treatment and compromises the quality of life of patients. Our previous studies have reported that molecular hydrogen (H2) can be used to prevent and treat various diseases. But the underlying mechanism remains unclear. The aim of the present study was to explore the effects of hydrogen-rich water on gut microbiota in CINP. Methods: All C57BL/6J mice were divided into 4 groups: The group fed with normal drinking water and injected with saline (H2O + Saline), the group fed with normal drinking water and injected with oxaliplatin (H2O + OXA), the group fed with hydrogen-rich water and injected with saline (HW + Saline), and the group fed with hydrogen-rich water and injected with oxaliplatin (HW + OXA). The mechanical paw withdrawal threshold of the mice was tested on days 0, 5, 10, 15 and 20 after hydrogen-rich water treatment. On day 20, feces of mice from different groups were collected for microbial community diversity and structure analysis. The levels of inflammatory cytokines (TNF-α and IL-6), oxidative stress factors (OH- and ONOO-), lipopolysaccharide (LPS) and Toll-like receptor 4 (TLR4) were detected in dorsal root ganglia (DRG), L4-6 spinal cord segments and serum by enzyme-linked immunosorbent assay. The expression of TLR4 in DRG and spinal cords was determined by Western blot. Results: The results illustrated that hydrogen-rich water could alleviate oxaliplatin-induced hyperalgesia, reduce the microbial diversity and alter the structure of gut microbiota, reverse the imbalance of inflammatory cytokines and oxidative stress, and decrease the expression of LPS and TLR4. Conclusion: Hydrogen-rich water may alleviate CINP by affecting the diversity and structure of the gut microbiota, and then the LPS-TLR4 pathway, which provides a direction for further research.
",Positive,Mouse,Whole Body,Cancer,Chemotherapy Toxicity (Oxaliplatin),Water (Dissolved),Neutral,Ingestion,,,China
20,"Lu, Hongwei","Wang, Wei; Kang, Xiaodiao; Lin, Zeng; Pan, Jun; Cheng, Shaowen","Zhang, Jingdong",Hydrogen (H 2) Alleviates Osteoarthritis by Inhibiting Apoptosis and Inflammation via the JNK Signaling Pathway,2021,Journal of Inflammation Research,10.2147/JIR.S297622 ,"Background: Osteoarthritis (OA) is a very common condition and leads to joint pain, disability, and price tag all over the world. Pathogenesis of OA is closely related to numerous inflammatory and apoptosis cytokines. Hydrogen (H2) reportedly exhibits a diversity of effects such as anti-apoptotic, anti-inflammatory, and anti-oxidative properties via the JNK pathway. However, it is unknown whether H2 has a protective effect against OA via the JNK signaling pathway. Therefore, the aim of this study was to figure out whether hydrogen has protective effect on chondrocyte and further explore the possible underlying mechanism. Methods: The chondrocytes were obtained from the human cartilage tissues. Cells were stimulated by TBHP and treated with hydrogen. In vitro treatment effects were evaluated by Western blot assay, real-time PCR, immunofluorescence and TUNEL method. We conducted mice model of destabilization of the medial meniscus (DMM) and treated with hydrogen. In vivo treatment effects were evaluated by X-ray imaging assay, safranin O (SO) staining, TUNEL staining and immunohistochemical assay. Results: Our results showed that hydrogen can inhibit inflammatory factors (ADAMTS5 and MMP13) and apoptosis factors (cleaved caspase-3, cytochrome c, and Bax) in TBHP-induced chondrocytes. Furthermore, hydrogen can suppress the activation of JNK signaling pathway, whereas the effect of hydrogen can be abolished by anisomycin (a JNK activator). In vivo results showed that hydrogen can down-regulate the expression of p-JNK and cleaved caspase-3 expression. Conclusion: We uncovered that hydrogen (H2) could alleviate apoptosis response and ECM degradation in human chondrocytes via inhibiting the activation of the JNK signaling pathway. Meanwhile, in the surgically-induced DMM mice model, treatment with hydrogen (H2) performed a significant role in OA progression.
",Positive,Mouse,Bone,Osteoarthritis (OA),Inflammation,Gas,N/A,Inhalation,,,China
21,"Masuda, Haruchika","Sato, Atsuko; Miyata, Kumiko; Shizuno, Tomoko; Oyamada, Akira; Ishiwata, Kazuo; Nakagawa, Yoshihiro","Asahara, Takayuki",Drinking Molecular Hydrogen Water Is Beneficial to Cardiovascular Function in Diet-Induced Obesity Mice ,2021,Biology,10.3390/biology10050364 ,"Molecular hydrogen (MH) reportedly exerts therapeutic effects against inflammatory diseases as a suppressor of free radical chain reactions. Here, the cardiovascular protective effects of the intake of molecular hydrogen water (MHW) were investigated using high-fat diet-induced obesity (DIO) mice. MHW was prepared using supplier sticks and degassed water as control. MHW intake for 2 weeks did not improve blood sugar or body weight but decreased heart weight in DIO mice. Moreover, MHW intake improved cardiac hypertrophy, shortened the width of cardiomyocytes, dilated the capillaries and arterioles, activated myocardial eNOS-Ser-1177 phosphorylation, and restored left ventricular function in DIO mice. MHW intake promoted the histological conversion of hypertrophy to hyperplasia in white and brown adipose tissues (WAT and BAT) with the upregulation of thermogenic and cardiovascular protective genes in BAT (i.e., Ucp-1, Vegf-a, and eNos). Furthermore, the results of a colony formation assay of bone-marrow-derived endothelial progenitor cells (EPCs) indicated that MHW activated the expansion, differentiation, and mobilization of EPCs to maintain vascular homeostasis. These findings indicate that the intake of MHW exerts cardiovascular protective effects in DIO mice. Hence, drinking MHW is a potential prophylactic strategy against cardiovascular disorders in metabolic syndrome. ",Positive,Mouse,Heart,Metabolic Syndrome,Cardiac Hypertrophy,Water (Mg-Chemico),Alkaline,Ingestion,,,Japan
22,"Matsuura, Hiroshi","Matsumoto, Hisatake; Okuzaki, Daisuke; Shimizu, Kentaro; Ogura, Hiroshi; Ebihara, Takeshi; Matsubara, Tsunehiro; Hirano, Shin-Ichi","Shimazu, Takeshi",Hydrogen Gas Therapy Attenuates Inflammatory Pathway Signaling in Septic Mice ,2021,Journal of Surgical Research,10.1016/j.jss.2021.01.022 ,"Background: Molecular hydrogen (H2) has been used in clinical cases. However, there are few studies of H2 therapy to treat sepsis, and anti-inflammatory mechanisms of H2 are mostly unknown. We aimed to confirm effects of H2 therapy on sepsis and reveal its therapeutic mechanism via RNA sequencing in multiple organs in septic mice. Methods: Nine-week-old C57BL/6 male mice underwent cecal ligation and puncture (CLP) or sham procedure. Subsequently, the CLP model received immediate ± continuous inhalation of 7% H2. Mice were observed for a week to assess survival rates. Serum inflammatory cytokines were evaluated at 24 h after CLP procedure. Liver, intestine, and lungs in CLP mice receiving 24-h ± H2 therapy were assessed by RNA sequencing. Data were analyzed with Ingenuity Pathways Analysis (QIAGEN Inc). Results: Seven-day survival rate in septic mice was significantly improved in the H2 inhalation group compared with that in the control group (75% versus 40%, P < 0.05). H2 treatment attenuated serum interleukin-6 and tumor necrosis factor-α levels at 24 h after CLP, and blood glucose levels were maintained in the H2-treated group. In RNA sequencing, canonical pathway analysis revealed inactivity of various inflammatory signaling pathways, for example, acute phase response signaling and STAT3 pathways, in the liver and intestine in the CLP model after 24-h H2 inhalation. We detected significantly decreased expressions of upstream regulator genes such as the CD14 antigen gene in the liver and various cytokine receptor genes in the intestine and lungs in the H2-treated group. Conclusions: These findings may contribute to clarifying the mechanism of action of H2 therapy in sepsis.
",Positive,Mouse,Whole Body,Sepsis,Inflammation,Gas,N/A,Inhalation,,,Japan
