First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Designation,Topic,Country
"Bajgai, Johny","Kim, Cheol-Su; Rahman, Md. Habibur; Jeong, Eun-Sook; Jang, Hong-Young; Kim, Ka-Eun; Choi, JaeHo; Cho, Il-Young; Lee, Hyu-Jae","Lee, Mihyun",Effects of Alkaline-Reduced Water on Gastrointestinal Diseases ,2022,Processes,10.3390/pr10010087,"Living a healthy lifestyle is the most important need in the world today. However, oxidative stress (OS) is caused by several stress-inducing factors such as smoking, alcohol consumption, chronic diseases, and inflammatory responses, oxygen-free radicals are produced in excess and can damage major organs in the body. This phenomenon has been implicated in the pathogenesis of several gastrointestinal (GI) diseases, including gastritis, constipation, and inflammatory bowel diseases, which include Crohn’s disease, ulcerative colitis, functional dyspepsia, acid reflux, diverticular disease, and irritable bowel syndrome. In this review article, we provide a brief overview of the role of OS in the pathogenesis of GI disorders. Additionally, we discuss the therapeutic role of alkaline-reduced water (ARW) on GI diseases and existing studies on ARW related to GI diseases. Furthermore, we believe that findings from this review article will enhance the knowledge of the readers on the role of ARW on OS and inflammation-based GI diseases. ",Review,Digestive Health,South Korea
"Sun, Xuejun","Ohta, Shigeo","Zhang, John H.",Discovery of a hydrogen molecular target ,2023,Medical Gas Research,10.4103/2045-9912.356472 ,No abstract available,Editorial,Hydrogen Biology,China
"Hirano, Shin-Ichi","Ichikawa, Yusuke; Sato, Bunpei; Takefuji, Yoshiyasu","Satoh, Fumitake","Conventional drug acts as a ""rifle gun"" while hydrogen as a ""machine gun"" ",2023,Medical Gas Research,10.4103/2045-9912.344982 ,"Most of the drugs used in modern medical treatments are symptomatic treatments and are far from being a cure for the diseases. The adverse effects are unavoidable in the drugs in modern medical treatments. Molecular hydrogen (H2) has a remarkable therapeutic effect on various diseases, and many clinical studies have reported that H2 has no adverse effects. Therefore, H2 is a novel medical gas that is outside the concept of modern medical treatment. H2, unlike drugs, works on the root of many diseases by scavenging the two kinds of strong reactive oxygen species, hydroxyl radical (·OH) and peroxynitrite (ONOO-). Since the H2 alleviates the root of diseases and can treat many diseases at the same time, the medical application of H2 may be called ""machine gun therapy."" In this review, we demonstrated that the root of many diseases is based on ·OH-induced oxidative stress in the mitochondria, and at the same time, the root of chronic inflammation is also attributed to ·OH. ",Review,Hydrogen Biology,Japan
"Ichikawa, Yusuke","Hirano, Shin-Ichi; Sato, Bunpei; Yamamoto, Haru; Takefuji, Yoshiyasu","Satoh, Fumitake",Guidelines for the selection of hydrogen gas inhalers based on hydrogen explosion accidents,2023,Medical Gas Research,10.4103/2045-9912.344972 ,"Despite the fact that we have reported on the dangers of the explosion of hydrogen gas inhalers, hydrogen gas inhalers with explosive hazards are, as a matter of fact, still being sold today. In this study, we investigated past reports of hydrogen gas inhaler explosion accidents to clarify the causes of these explosion incidents. As a result of this investigation, we found that the central cause was the leakage of hydrogen gas inside the hydrogen gas inhaler. Although it is said that the explosive concentration of hydrogen is between 10% and 75%, and that the gas does not explode above 75% due to the lack of oxygen, we confirmed through a series of ignition experiments that explosions can occur even in hydrogen gas inhalers that produce 100% hydrogen gas. Some manufacturers of such highly concentrated hydrogen gas inhalers claim that the high concentration and purity of hydrogen is safe and that there is no risk of explosion. We believe that manufacturing or selling such products that pose a risk of explosion or detonation is a violation of social justice. This paper presents ideas for selecting safe hydrogen gas inhalers based on a survey of past accident cases. ",Review,Hydrogen Safety,Japan
"Zhang, Yu","Chen, Gang; Yan, Zhenfeng; Wang, Lifei","Wang, Dongchang",Erratum: Hydrogen gas promotes apoptosis of lung adenocarcinoma A549 cells through X-linked inhibitor of apoptosis and baculoviral inhibitor of apoptosis protein repeat-containing 3 ,2022,Journal of Cancer Research and Therapeutics,10.4103/0973-1482.367454 ,No abstract available,Erratum,Cancer,China
"Wu, Chongyun","Zou, Peibin; Feng, Shu; Zhu, Ling; Li, Fanghui; Liu, Timon Cheng-Yi; Duan, Rui","Yang, Luodan",Molecular Hydrogen: an Emerging Therapeutic Medical Gas for Brain Disorders ,2022,Molecular Neurobiology,10.1007/s12035-022-03175-w ,"Oxidative stress and neuroinflammation are the main physiopathological changes involved in the initiation and progression of various neurodegenerative disorders or brain injuries. Since the landmark finding reported in 2007 found that hydrogen reduced the levels of peroxynitrite anions and hydroxyl free radicals in ischemic stroke, molecular hydrogen's antioxidative and anti-inflammatory effects have aroused widespread interest. Due to its excellent antioxidant and anti-inflammatory properties, hydrogen therapy via different routes of administration exhibits great therapeutic potential for a wide range of brain disorders, including Alzheimer's disease, neonatal hypoxic-ischemic encephalopathy, depression, anxiety, traumatic brain injury, ischemic stroke, Parkinson's disease, and multiple sclerosis. This paper reviews the routes for hydrogen administration, the effects of hydrogen on the previously mentioned brain disorders, and the primary mechanism underlying hydrogen's neuroprotection. Finally, we discuss hydrogen therapy's remaining issues and challenges in brain disorders. We conclude that understanding the exact molecular target, finding novel routes, and determining the optimal dosage for hydrogen administration is critical for future studies and applications. ",Review,Brain Health,China
"Ramanathan, Dinesh","Huang, Lei; Wilson, Taylor","Boling, Warren",Molecular hydrogen therapy for neurological diseases: a review of current evidence ,2023,Medical Gas Research,10.4103/2045-9912.359677 ,"Reactive oxygen species and other free radicals cause oxidative stress which is the underlying pathogenesis of cellular injury in various neurological diseases. Molecular hydrogen therapy with its unique biological property of selectively scavenging pathological free radicals has demonstrated therapeutic potential in innumerable animal studies and some clinical trials. These studies have implicated several cellular pathways affected by hydrogen therapy in explaining its anti-inflammatory and antioxidative effects. This article reviews relevant animal and clinical studies that demonstrate neuroprotective effects of hydrogen therapy in stroke, neurodegenerative diseases, neurotrauma, and global brain injury. ",Review,Brain Health,United States
"Yuan, Tao","Zhao, Jian-Ning","Bao, Ni-Rong",Hydrogen applications: advances in the field of medical therapy ,2023,Medical Gas Research,10.4103/2045-9912.344978 ,"Hydrogen (H2) has been widely used in the chemical industry as a reducing agent. As the researches move along, increasing attention has been paid to its biological functions. The selective antioxidant effect of hydrogen is considered to be the main reason for medical applications. So far, many studies have confirmed its potential protective effects on ischemia/reperfusion injury of multiple organs, neurodegenerative diseases, bone and joint diseases, and respiratory diseases, opening a new era in the medical research and application of H2. Increasing studies have focused on its biological effects and molecular mechanisms in the treatment of different diseases. In this paper, we review the biological effects, molecular mechanisms and methods of H2 supply. We do hope that the advances in materials science can be better translated into medical applications and solve clinical problems. The medical application of H2 is promising, and how to prepare an H2 sustained-release system to achieve a sustained and stable H2 supply in the body and ultimately improve the therapeutic effect of H2 is a problem worthy of further investigation. ",Review,Oxidative Stress/General Health,China
"Ichikawa, Yusuke","Yamamoto, Haru; Hirano, Shin-Ichi; Sato, Bunpei; Takefuji, Yoshiyasu","Satoh, Fumitake",The overlooked benefits of hydrogen-producing bacteria ,2023,Medical Gas Research,10.4103/2045-9912.344977 ,"Intestinal bacteria can be classified into ""beneficial bacteria"" and ""harmful bacteria."" However, it is difficult to explain the mechanisms that make ""beneficial bacteria"" truly beneficial to human health. This issue can be addressed by focusing on hydrogen-producing bacteria in the intestines. Although it is widely known that molecular hydrogen can react with hydroxyl radicals, generated in the mitochondria, to protect cells from oxidative stress, the beneficial effects of hydrogen are not fully pervasive because it is not generally thought to be metabolized in vivo. In recent years, it has become clear that there is a close relationship between the amount of hydrogen produced by intestinal bacteria and various diseases, and this report discusses this relationship. ",Review,Hydrogen Biology,Japan
"Li, He","Ma, Hong-Yu; Hua, Wei-Long; Zhang, Yong-Xin; Zhang, Lei; Xing, Peng-Fei; Yang, Peng-Fei","Liu, Jian-Min",Trend of research on the medical use of molecular hydrogen: a bibliometric analysis ,2023,Medical Gas Research,10.4103/2045-9912.344980 ,"The medical use of molecular hydrogen, including hydrogen-rich water and hydrogen gas, has been extensively explored since 2007. This article aimed to demonstrate the trend in medical research on molecular hydrogen. A total of 1126 publications on hydrogen therapy were retrieved from the PubMed database until July 30, 2021. From 2007 to 2020, the number of publications in this field had been on an upward trend. Medical Gas Research, Scientific Report and Shock have contributed the largest number of publications on this topic. Researchers by the name of Xue-Jun Sun, Ke-Liang Xie and Yong-Hao Yu published the most studies in the field. Analysis of the co-occurrence of key words indicated that the key words ""molecular hydrogen,"" ""hydrogen-rich water,"" ""oxidative stress,"" ""hydrogen gas,"" and ""inflammation"" occurred most frequently in these articles. ""Gut microbiota,"" ""pyroptosis,"" and ""COVID-19"" occurred the most recently among the keywords. In summary, the therapeutic application of molecular hydrogen had attracted much attention in these years. The advance in this field could be caught up by subscribing to relevant journals or following experienced scholars. Oxidative stress and inflammation were the most important research directions currently, and gut microbiota, pyroptosis, and coronavirus disease 2019 might become hotspots in the future. ",Review,Oxidative Stress/General Health,China
"Chilicka, Karolina","Gold, Michael H.","Nowicka, D.",Acne vulgaris and the most popular and new cosmetological treatments ,2023,Journal of Cosmetic Dermatology,10.1111/jocd.15757 ,"Introduction: Acne vulgaris is a disease that has an enormous impact on appearance of the skin of the patients and also on their quality of life. Long-term dermatological treatment, which often lasts years, and disease relapses contribute to the occurrence of low self-esteem and depression. Acne is one of the 10 most common diseases in the world and the most common inflammatory skin disease. Many methods of dermatological treatment that bring very good results are available. However, educating people with acne on how to take care of their skin on a daily basis to minimize the bleak effects of the disease is an extremely important element. Contemporary cosmetology creates an environment for not only taking care of the skin at home, but also develops in-office treatments with exfoliation of the dead epidermis as an extremely important and priority part of treatment. The cosmetologist can propose both chemical and apparatus methods, which are selected individually for each client. Objective: The objective of this article is to provide information about cosmetological treatment used in acne vulgaris. Methods: In this article, we reviewed the published literature, article published in peer-reviewed journals. Results: There are many methods that work well in the case of acne skin care, more and more new treatments appear on the cosmetological market. Conclusion: Acne skin care in beauty parlor is very important element.",Review,Skin Health,Poland
"Artamonov, Mikhail Yu","Martusevich, Andrew K., Pyatakovich, Felix A.; Minenko, Inessa A.; Dlin, Sergei, V.","LeBaron, Tyler W.",Molecular Hydrogen: From Molecular Effects to Stem Cells Management and Tissue Regeneration ,2023,Antioxidants,10.3390/antiox12030636 ,"It is known that molecular hydrogen is a relatively stable, ubiquitous gas that is a minor component of the atmosphere. At the same time, in recent decades molecular hydrogen has been shown to have diverse biological effects. By the end of 2022, more than 2000 articles have been published in the field of hydrogen medicine, many of which are original studies. Despite the existence of several review articles on the biology of molecular hydrogen, many aspects of the research direction remain unsystematic. Therefore, the purpose of this review was to systematize ideas about the nature, characteristics, and mechanisms of the influence of molecular hydrogen on various types of cells, including stem cells. The historical aspects of the discovery of the biological activity of molecular hydrogen are presented. The ways of administering molecular hydrogen into the body are described. The molecular, cellular, tissue, and systemic effects of hydrogen are also reviewed. Specifically, the effect of hydrogen on various types of cells, including stem cells, is addressed. The existing literature indicates that the molecular and cellular effects of hydrogen qualify it to be a potentially effective agent in regenerative medicine. ",Review,Oxidative Stress/General Health,Russia
"Yang, Hui-Ju","Tsou, Wen-Hsin; Shen, Min-Chung; Liu, Chian-Yi; Saunders, Hsiu-Ming; Wang, Kuang-Yih","Douglas, Frank Lennox",Erratum to the effects of hydrogen treatment in a cigarette smoke solution-induced chronic obstructive pulmonary disease-like changes in an animal model ,2023,Journal of Thoracic Disease,10.21037/jtd-2022-22 ,This corrects the article DOI: 10.21037/jtd-22-324.,Erratum,Cardiopulmonary Health,China
"Noor, Muhammad Nooraiman Zufayri Mohd","Alauddin, Adlin Sofea; Wong, Yin How; Looi, Chung Yeng; Wong, Eng Hwa; Madhavan, Priya","Yeong, Chai Hong",A Systematic Review of Molecular Hydrogen Therapy in Cancer Management ,2023,Asian Pacific Journal of Cancer Prevention,10.31557/APJCP.2023.24.1.37 ,"Background: Cancer remains a challenging target to cure, with present therapeutic methods unable to exhibit restorative outcomes without causing severe negative effects. Molecular hydrogen (H2) has been reported to be a promising adjunctive therapy for cancer treatment, having the capability to induce anti-proliferative, anti-oxidative, pro-apoptotic and anti-tumoural effects. This review summarises the findings from various articles on the mechanism, treatment outcomes, and overall effectiveness of H2 therapy on cancer management. Methods: Using Cochrane, PubMed, and Google Scholar as the search engines, full-text articles in the scope of the study, written in English and within 10 years of publication were selected. Results: Out of the 677 articles, 27 articles fulfilled the eligibility criteria, where data was compiled into a table, outlining the general characteristics and findings. Throughout the different forms of H2 administration, study design and types of cancers reported, outcomes were found to be consistent. Conclusion: From our analysis, H2 plays a promising therapeutic role as an independent therapy as well as an adjuvant in combination therapy, resulting in an overall improvement in survivability, quality of life, blood parameters, and tumour reduction. Although more comprehensive research is needed, given the promising outcomes, H2 is worth considering for use as a complement to current cancer therapy.",Review,Cancer,Malaysia
"Zhou, Kaixiang","Liu, Meng; Wang, Yubo; Liu, Haoyang; Manor, Brad; Bao, Dapeng; Zhang, Luyu","Zhou, Junhong",Effects of molecular hydrogen supplementation on fatigue and aerobic capacity in healthy adults: A systematic review and meta-analysis ,2023,Frontiers in Nutrition,10.3389/fnut.2023.1094767 ,"Background: Fatigue is oftentimes induced by high-intensity exercise potentially via the exceeded amount of reactive oxygen species, leading to diminished functions (e.g., aerobic capacity) and increased risk of injuries. Studies indicate that molecular hydrogen (H2), with antioxidant and anti-inflammatory properties, may be a promising strategy to alleviate fatigue and improve aerobic capacity. However, such effects have not been comprehensively characterized. Objective: To systematically assess the effects of in taking H2 on fatigue and aerobic capacity in healthy adults. Methods: The search was conducted in August 2022 in five databases. Studies with randomized controlled or crossover designs that investigated the rating of perceived exertion (RPE), maximal oxygen uptake (VO2max), peak oxygen uptake (VO2peak), and endurance performance were selected. The data (mean ± standard deviation and sample size) were extracted from the included studies and were converted into the standardized mean difference (SMD). Random-effects meta-analyses were performed. Subgroup analysis was used to analyze potential sources of heterogeneity due to intervention period, training status, and type of exercise. Results: Seventeen publications (19 studies) consisting of 402 participants were included. The pooled effect sizes of H2 on RPE (SMDpooled = -0.38, 95%CI -0.65 to -0.11, p = 0.006, I 2 = 33.6%, p = 0.149) and blood lactate (SMDpooled = -0.42, 95% CI -0.72 to -0.12, p = 0.006, I 2 = 35.6%, p = 0.114) were small yet significant with low heterogeneity. The pooled effect sizes of H2 on VO2max and VO2peak (SMDpooled = 0.09, 95% CI -0.10 to 0.29, p = 0.333, I 2 = 0%, p = 0.998) and endurance performance (SMDpooled = 0.01, 95% CI -0.23 to 0.25, p = 0.946, I 2 = 0%, p > 0.999) were not significant and trivial without heterogeneity. Subgroup analysis revealed that the effects of H2 on fatigue were impacted significantly by the training status (i.e., untrained and trained), period of H2 implementation, and exercise types (i.e., continuous and intermittent exercises). Conclusions: This meta-analysis provides moderate evidence that H2 supplementation alleviates fatigue but does not enhance aerobic capacity in healthy adults. Systematic review registration: www.crd.york.ac.uk/PROSPERO/, identifier: CRD42022351559.",Review,Excercise/Sport,China
"Rahman, Md Habibur","Jeong, Eun-Sook; You, Hae Sun; Kim, Cheol-Su","Lee, Kyu-Jae",Redox-Mechanisms of Molecular Hydrogen Promote Healthful Longevity ,2023,Antioxidants,10.3390/antiox12050988 ,"Age-related diseases represent the largest threat to public health. Aging is a degenerative, systemic, multifactorial and progressive process, coupled with progressive loss of function and eventually leading to high mortality rates. Excessive levels of both pro- and anti-oxidant species qualify as oxidative stress (OS) and result in damage to molecules and cells. OS plays a crucial role in the development of age-related diseases. In fact, damage due to oxidation depends strongly on the inherited or acquired defects of the redox-mediated enzymes. Molecular hydrogen (H2) has recently been reported to function as an anti-oxidant and anti-inflammatory agent for the treatment of several oxidative stress and aging-related diseases, including Alzheimer's, Parkinson's, cancer and osteoporosis. Additionally, H2 promotes healthy aging, increases the number of good germs in the intestine that produce more intestinal hydrogen and reduces oxidative stress through its anti-oxidant and anti-inflammatory activities. This review focuses on the therapeutic role of H2 in the treatment of neurological diseases. This review manuscript would be useful in knowing the role of H2 in the redox mechanisms for promoting healthful longevity. ",Review,Oxidative Stress/General Health,South Korea
"Jin, Ling","Tan, Shiwang; Fan, Kai; Wang, Yang","Yu, Shaoqing",Research Progress of Hydrogen on Chronic Nasal Inflammation ,2023,Journal of Inflammation Research,10.2147/JIR.S413179 ,"Chronic nasal mucosal inflammatory disease is a common nasal disease, which is involved by inflammatory cells and a variety of cytokines. Its main pathological features are inflammatory reaction, increased secretion, mucosal swelling and thickening of nasal cavity or paranasal sinuses.It mainly includes chronic rhinitis (divided into allergic rhinitis, non-allergic rhinitis), chronic sinusitis (divided into with nasal polyps, without nasal polyps type), etc.The main symptoms of chronic rhinitis are nasal itching, sneezing, runny nose, and nasal congestion. The main symptoms of chronic sinusitis are nasal congestion, purulent or sticky nasal discharge, headache, and reduced sense of smell. They are a type of disease with a high incidence rate and seriously affect the quality of human life.Although the etiology and treatment of this type of disease have been extensively studied, there are still many aspects that are unclear.Currently, oxidative stress is believed to be an important link in the pathogenesis of chronic inflammatory diseases of the nasal mucosa. Therefore, anti-oxidative stress is a direction of research for the treatment of chronic nasal mucosal inflammatory diseases.Hydrogen, as a medically therapeutic gas, has been extensively studied for its antioxidant, anti-inflammatory, and anti-damage properties, and has been used in the treatment of various diseases.Although there are relatively few studies on the use of hydrogen for nasal inflammation, its positive effects have also been found. This article systematically summarizes the relevant research on the use of hydrogen to improve chronic nasal mucosal inflammation, with the aim of clarifying the ideas and indicating the direction for further research in the future. ",Review,Nose Health,China
"Xie, Fei","Song, Yifei; Yi, Yang; Jiang, Xue; Ma, Shiwen; Ma, Chen; Li, Junyu; Zhanghuang, Ziyi; Liu, Mengyu; Zhao, Pengxiang","Ma, Xuemei",Therapeutic Potential of Molecular Hydrogen in Metabolic Diseases from Bench to Bedside ,2023,Pharmaceuticals,10.3390/ph16040541 ,"Oxidative stress and chronic inflammation have been implicated in the pathophysiology of metabolic diseases, including diabetes mellitus (DM), metabolic syndrome (MS), fatty liver (FL), atherosclerosis (AS), and obesity. Molecular hydrogen (H2) has long been considered a physiologically inert gas. In the last two decades, accumulating evidence from pre-clinical and clinical studies has indicated that H2 may act as an antioxidant to exert therapeutic and preventive effects on various disorders, including metabolic diseases. However, the mechanisms underlying the action of H2 remain unclear. The purpose of this review was to (1) provide an overview of the current research on the potential effects of H2 on metabolic diseases; (2) discuss the possible mechanisms underlying these effects, including the canonical anti-oxidative, anti-inflammatory, and anti-apoptotic effects, as well as suppression of ER stress, activation of autophagy, improvement of mitochondrial function, regulation of gut microbiota, and other possible mechanisms. The potential target molecules of H2 will also be discussed. With more high-quality clinical trials and in-depth mechanism research, it is believed that H2 will eventually be applied to clinical practice in the future, to benefit more patients with metabolic disease. ",Review,Oxidative Stress/General Health,China
"Saengsin, Kwannapas","Sittiwangkul, Rekwan; Chattipakorn, Siriporn C.","Chattipakorn, Nipon",Hydrogen therapy as a potential therapeutic intervention in heart disease: from the past evidence to future application ,2023,Cellular and Molecular Life Sciences,10.1007/s00018-023-04818-4 ,"Cardiovascular disease is the leading cause of mortality worldwide. Excessive oxidative stress and inflammation play an important role in the development and progression of cardiovascular disease. Molecular hydrogen, a small colorless and odorless molecule, is considered harmless in daily life when its concentration is below 4% at room temperature. Owing to the small size of the hydrogen molecule, it can easily penetrate the cell membrane and can be metabolized without residue. Molecular hydrogen can be administered through inhalation, the drinking of hydrogen-rich water, injection with hydrogen-rich-saline, and bathing of an organ in a preservative solution. The utilization of molecular hydrogen has shown many benefits and can be effective for a wide range of purposes, from prevention to the treatment of diseases. It has been demonstrated that molecular hydrogen exerts antioxidant, anti-inflammatory, and antiapoptotic effects, leading to cardioprotective benefits. Nevertheless, the exact intracellular mechanisms of its action are still unclear. In this review, evidence of the potential benefits of hydrogen molecules obtained from in vitro, in vivo, and clinical investigations are comprehensively summarized and discussed with a focus on the cardiovascular aspects. The potential mechanisms involved in the protective effects of molecular hydrogen are also presented. These findings suggest that molecular hydrogen could be used as a novel treatment in various cardiovascular pathologies, including ischemic-reperfusion injury, cardiac injury from radiation, atherosclerosis, chemotherapy-induced cardiotoxicity, and cardiac hypertrophy. ",Review,Cardiopulmonary Health,Thailand
"Todorovic, Nikola","Fernandez-Landa, Julen; Santibanez, Asier; Kura, Branislav; Stajer, Valdemar; Korovljev, Darinka","Ostojic, Sergej M.",The Effects of Hydrogen-Rich Water on Blood Lipid Profiles in Clinical Populations: A Systematic Review and Meta-Analysis ,2023,Pharmaceuticals,10.3390/ph16020142 ,"Over the last two decades, a plethora of disease models and human studies have confirmed the beneficial effects of molecular hydrogen (H2), a simple biotherapeutic gas. Recent small-scale studies evaluating the effects of hydrogen-rich water (HRW) on various metabolic conditions pointed to advantageous effects of HRW in regulating blood lipid profiles. However, to the best of the authors' knowledge, no systematic review and/or meta-analysis (SRMA) were published considering HRW consumption and lipid/lipoprotein status. Therefore, the aim of this SRMA was to assess the effects of HRW consumption on blood lipid panel in clinical populations. The search strategy was designed using PRISMA guidelines, and the databases PubMed/Medline, Web of Science, and Scopus were explored from inception until 4 October 2022. A total of seven studies satisfied all the eligibility criteria and were included in SRMA. The results for the pooled meta-analysis showed a significant reduction in total cholesterol, low-density lipoprotein, and triglycerides after HRW intake (p = 0.01), with small to moderate effects (pooled SMD = -0.23 (from -0.40 to 0.05); pooled SMD = -0.22 (from -0.39 to 0.04); pooled SMD = -0.38 (from -0.59 to 0.18), respectively). Our findings indicate that drinking HRW can significantly improve lipid status in the clinical populations. Additional studies are warranted to further validate this connection. ",Review,Diabetes/Metabolic Disorder,Serbia
"Zafonte, Ross D.","Wang, Lei; Arbelaez, Christian A.; Dennison, Rachel","Teng, Yang D.","Medical Gas Therapy for Tissue, Organ, and CNS Protection: A Systematic Review of Effects, Mechanisms, and Challenges",2022,Advanced Science,10.1002/advs.202104136,"Gaseous molecules have been increasingly explored for therapeutic development. Here, following an analytical background introduction, a systematic review of medical gas research is presented, focusing on tissue protections, mechanisms, data tangibility, and translational challenges. The pharmacological efficacies of carbon monoxide (CO) and xenon (Xe) are further examined with emphasis on intracellular messengers associated with cytoprotection and functional improvement for the CNS, heart, retina, liver, kidneys, lungs, etc. Overall, the outcome supports the hypothesis that readily deliverable “biological gas” (CO, H2, H2S, NO, O2, O3, and N2O) or “noble gas” (He, Ar, and Xe) treatment may preserve cells against common pathologies by regulating oxidative, inflammatory, apoptotic, survival, and/or repair processes. Specifically, CO, in safe dosages, elicits neurorestoration via igniting sGC/cGMP/MAPK signaling and crosstalk between HO-CO, HIF-1α/VEGF, and NOS pathways. Xe rescues neurons through NMDA antagonism and PI3K/Akt/HIF-1α/ERK activation. Primary findings also reveal that the need to utilize cutting-edge molecular and genetic tactics to validate mechanistic targets and optimize outcome consistency remains urgent; the number of neurotherapeutic investigations is limited, without published results from large in vivo models. Lastly, the broad-spectrum, concurrent multimodal homeostatic actions of medical gases may represent a novel pharmaceutical approach to treating critical organ failure and neurotrauma.",Review,Surgery/Transplantation,United States
"Perveen, Ishrat","Bukhari, Bakhtawar; Najeeb, Mahwish; Nazir, Sumbal; Faridi, Tallat Anwar; Farooq, Muhammad; Ahmad, Qurat-Ul-Ain; Abusalah, Manal Abdel Haleem A.; ALjaraedah, Thana' Y.; Alraei, Wesal Yousef; Rabaan, Ali A.; Singh, Kirnpal Kaur Banga","Abusalah, Mai Abdel Haleem A.","Hydrogen Therapy and Its Future Prospects for Ameliorating COVID-19: Clinical Applications, Efficacy, and Modality ",2023,Biomedicines,10.3390/biomedicines11071892 ,"Molecular hydrogen is renowned as an odorless and colorless gas. The recommendations developed by China suggest that the inhalation of hydrogen molecules is currently advised in COVID-19 pneumonia treatment. The therapeutic effects of molecular hydrogens have been confirmed after numerous clinical trials and animal-model-based experiments, which have expounded that the low molecular weight of hydrogen enables it to easily diffuse and permeate through the cell membranes to produce a variety of biological impacts. A wide range of both chronic and acute inflammatory diseases, which may include sepsis, pancreatitis, respiratory disorders, autoimmune diseases, ischemia-reperfusion damages, etc. may be treated and prevented by using it. H2 can primarily be inoculated through inhalation, by drinking water (which already contains H2), or by administrating the injection of saline H2 in the body. It may play a pivotal role as an antioxidant, in regulating the immune system, in anti-inflammatory activities (mitochondrial energy metabolism), and cell death (apoptosis, pyroptosis, and autophagy) by reducing the formation of excessive reactive O2 species and modifying the transcription factors in the nuclei of the cells. However, the fundamental process of molecular hydrogen is still not entirely understood. Molecular hydrogen H2 has a promising future in therapeutics based on its safety and possible usefulness. The current review emphasizes the antioxidative, anti-apoptotic, and anti-inflammatory effects of hydrogen molecules along with the underlying principle and fundamental mechanism involved, with a prime focus on the coronavirus disease of 2019 (COVID-19). This review will also provide strategies and recommendations for the therapeutic and medicinal applications of the hydrogen molecule. ",Review,Cardiopulmonary Health,Pakistan
"Rochette, Luc","Dogon, Geoffrey; Zeller, Marianne; Cottin, Yves","Vergely, Catherine",Antitumoral Activity of Molecular Hydrogen and Proton in the Treatment of Glioblastoma: An Atypical Pharmacology? ,2023,Brain Sciences,10.3390/brainsci13081168 ,"Antioxidants in cancer therapy have been a hot topic in the medical field for 20 years. Antioxidants are able to reduce the risk of cancer formation by neutralizing free radicals. Protons (H+) and molecular hydrogen (H2) interact in the cell and are essential in a wide variety of processes. The antioxidant, anti-inflammatory, and antiapoptotic effects of H2 have been studied in numerous experimental and clinical studies. Experimental data indicate that H2 is an antitumor agent in the treatment of glioblastoma (GBM). In vivo H2 inhalation could suppress the growth of GBM tumors, thereby extending the survival of mice with GBM. The sphere-forming ability of glioma cells was suppressed by hydrogen treatment. In addition, H2 treatment also suppressed the migration, invasion, and colony-forming ability of glioma cells. Proton therapy and proton beam radiotherapy offer some advantages over other modern conformal photon-based therapies when used in the treatment of central nervous system malignancies. ",Review,Cancer,France
"Wang, Linlin","Dan, Qing; Xu, Bingxuan; Chen, Yun","Zheng, Tingting",Research progress on gas signal molecular therapy for Parkinson's disease ,2023,Open Life Sciences,10.1515/biol-2022-0658 ,"The pathogenesis of Parkinson's disease (PD) remains unclear. Among the pathological manifestations is the progressive degeneration of the nigrostriatal dopaminergic pathway, leading to massive loss of neurons in the substantia nigra pars compacta and dopamine (DA) depletion. Therefore, the current drug treatment is primarily based on DA supplementation and delaying the progression of the disease. However, as patients' symptoms continue to worsen, the drug effect will gradually decrease or even disappear, thereby further aggravating clinical symptoms. Gas signaling molecules, such as hydrogen sulfide (H2S), nitric oxide (NO), carbon monoxide (CO), and hydrogen (H2), exhibit pleiotropic biological functions and play crucial roles in physiological and pathological effects. In common neurodegenerative diseases including Alzheimer's disease and PD, gas signal molecules can prevent or delay disease occurrence via the primary mechanisms of antioxidation, anti-inflammatory response, and antiapoptosis. This article reviews the therapeutic progress of gas signaling molecules in PD models and discusses the possibility of their clinical applications. ",Review,Parkinson's Disease,China
"Peng, Zheng","Li, Xiao-Jian; Pang, Cong; Zhang, Jia-Tong; Zhu, Qi; Sun, Jia-Qing; Wang, Juan; Cao, Bo-Qiang; Zhang, Yu-Hua; Lu, Yue; Li, Wei; Hang, Chun-Hua","Zhuang, Zong","Corrigendum to ""Hydrogen inhalation therapy regulates lactic acid metabolism following subarachnoid hemorrhage through the HIF-1α pathway""",2023,Biochemical and Biophysical Research Communications,10.1016/j.bbrc.2023.08.012 ,No abstract available,Erratum,Brain Health,China
